ID,NAME_CAP,NAME,SHINY,LUCKY,JILLIAN
101,ELECTRODE,electrode,Y,Y,Y
102,EXEGGCUTE,exeggcute,Y,Y,Y
103,EXEGGUTOR,exeggutor,Y,Y,Y
104,CUBONE,cubone,Y,Y,
105,MAROWAK,marowak,Y,Y,Y
106,HITMONLEE,hitmonlee,Y,Y,Y
107,HITMONCHAN,hitmonchan,Y,Y,Y
108,LICKITUNG,lickitung,Y,Y,Y
109,KOFFING,koffing,Y,Y,
110,WEEZING,weezing,Y,Y,
111,RHYHORN,rhyhorn,Y,Y,
112,RHYDON,rhydon,Y,Y,Y
113,CHANSEY,chansey,Y,Y,Y
114,TANGELA,tangela,Y,Y,Y
115,KANGASKHAN,kangaskhan,Y,Y,Y
116,HORSEA,horsea,Y,Y,Y
117,SEADRA,seadra,Y,Y,Y
118,GOLDEEN,goldeen,Y,Y,
119,SEAKING,seaking,Y,Y,Y
120,STARYU,staryu,Y,Y,
121,STARMIE,starmie,Y,Y,Y
122,MR. MIME,mr. mime,Y,Y,
123,SCYTHER,scyther,Y,Y,Y
124,JYNX,jynx,Y,Y,Y
125,ELECTABUZZ,electabuzz,Y,Y,Y
126,MAGMAR,magmar,Y,Y,
127,PINSIR,pinsir,Y,Y,Y
128,TAUROS,tauros,Y,Y,Y
129,MAGIKARP,magikarp,Y,Y,Y
130,GYARADOS,gyarados,Y,Y,Y
131,LAPRAS,lapras,Y,Y,Y
132,DITTO,ditto,Y,Y,Y
133,EEVEE,eevee,Y,Y,Y
134,VAPOREON,vaporeon,Y,Y,Y
135,JOLTEON,jolteon,Y,Y,Y
136,FLAREON,flareon,Y,Y,Y
137,PORYGON,porygon,Y,Y,Y
138,OMANYTE,omanyte,Y,Y,Y
139,OMASTAR,omastar,Y,Y,Y
140,KABUTO,kabuto,Y,Y,Y
141,KABUTOPS,kabutops,Y,Y,Y
142,AERODACTYL,aerodactyl,Y,Y,Y
143,SNORLAX,snorlax,Y,Y,Y
144,ARTICUNO,articuno,Y,Y,Y
145,ZAPDOS,zapdos,Y,Y,Y
146,MOLTRES,moltres,Y,Y,Y
147,DRATINI,dratini,Y,Y,Y
148,DRAGONAIR,dragonair,Y,Y,Y
149,DRAGONITE,dragonite,Y,Y,Y
150,MEWTWO,mewtwo,Y,Y,Y
151,MEW,mew,Y,,Y
152,CHIKORITA,chikorita,Y,Y,Y
153,BAYLEEF,bayleef,Y,Y,Y
154,MEGANIUM,meganium,Y,Y,Y
155,CYNDAQUIL,cyndaquil,Y,Y,Y
156,QUILAVA,quilava,Y,Y,Y
157,TYPHLOSION,typhlosion,Y,Y,Y
158,TOTODILE,totodile,Y,Y,Y
159,CROCONAW,croconaw,Y,Y,Y
160,FERALIGATR,feraligatr,Y,Y,Y
161,SENTRET,sentret,,Y,Y
162,FURRET,furret,,Y,Y
163,HOOTHOOT,hoothoot,Y,Y,Y
164,NOCTOWL,noctowl,Y,Y,Y
165,LEDYBA,ledyba,Y,Y,Y
166,LEDIAN,ledian,Y,Y,Y
167,SPINARAK,spinarak,Y,Y,Y
168,ARIADOS,ariados,Y,Y,Y
169,CROBAT,crobat,Y,Y,Y
170,CHINCHOU,chinchou,Y,Y,Y
171,LANTURN,lanturn,Y,Y,Y
172,PICHU,pichu,Y,Y,Y
173,CLEFFA,cleffa,Y,Y,Y
174,IGGLYBUFF,igglybuff,Y,Y,Y
175,TOGEPI,togepi,Y,Y,Y
176,TOGETIC,togetic,Y,Y,Y
177,NATU,natu,Y,Y,Y
178,XATU,xatu,Y,Y,Y
179,MAREEP,mareep,Y,Y,Y
180,FLAAFFY,flaaffy,Y,Y,Y
181,AMPHAROS,ampharos,Y,Y,Y
182,BELLOSSOM,bellossom,Y,Y,Y
183,MARILL,marill,Y,Y,Y
184,AZUMARILL,azumarill,Y,Y,Y
185,SUDOWOODO,sudowoodo,,Y,Y
186,POLITOED,politoed,Y,Y,Y
187,HOPPIP,hoppip,Y,Y,Y
188,SKIPLOOM,skiploom,Y,Y,Y
189,JUMPLUFF,jumpluff,Y,Y,Y
190,AIPOM,aipom,Y,Y,Y
191,SUNKERN,sunkern,Y,Y,Y
192,SUNFLORA,sunflora,Y,Y,Y
193,YANMA,yanma,Y,Y,Y
194,WOOPER,wooper,Y,Y,Y
195,QUAGSIRE,quagsire,Y,Y,Y
196,ESPEON,espeon,Y,Y,Y
197,UMBREON,umbreon,Y,Y,Y
198,MURKROW,murkrow,Y,Y,Y
199,SLOWKING,slowking,Y,Y,Y
200,MISDREAVUS,misdreavus,,Y,Y
201,UNOWN,unown,Y,Y,Y
202,WOBBUFFET,wobbuffet,Y,Y,Y
203,GIRAFARIG,girafarig,Y,Y,Y
204,PINECO,pineco,Y,Y,Y
205,FORRETRESS,forretress,Y,Y,Y
206,DUNSPARCE,dunsparce,Y,Y,Y
207,GLIGAR,gligar,Y,Y,Y
208,STEELIX,steelix,Y,Y,Y
209,SNUBBULL,snubbull,Y,Y,Y
210,GRANBULL,granbull,Y,Y,Y
211,QWILFISH,qwilfish,Y,Y,Y
212,SCIZOR,scizor,Y,Y,Y
213,SHUCKLE,shuckle,Y,Y,Y
214,HERACROSS,heracross,Y,Y,Y
215,SNEASEL,sneasel,Y,Y,Y
216,TEDDIURSA,teddiursa,Y,Y,Y
217,URSARING,ursaring,Y,Y,Y
218,SLUGMA,slugma,,Y,Y
219,MAGCARGO,magcargo,,Y,Y
220,SWINUB,swinub,Y,Y,Y
221,PILOSWINE,piloswine,Y,Y,Y
222,CORSOLA,corsola,Y,Y,Y
223,REMORAID,remoraid,,Y,Y
224,OCTILLERY,octillery,,Y,Y
225,DELIBIRD,delibird,Y,Y,Y
226,MANTINE,mantine,Y,Y,Y
227,SKARMORY,skarmory,Y,Y,Y
228,HOUNDOUR,houndour,Y,Y,Y
229,HOUNDOOM,houndoom,Y,Y,Y
230,KINGDRA,kingdra,Y,Y,Y
231,PHANPY,phanpy,,Y,Y
232,DONPHAN,donphan,,Y,Y
233,PORYGON2,porygon2,Y,Y,Y
234,STANTLER,stantler,Y,Y,Y
235,SMEARGLE,smeargle,Y,Y,Y
236,TYROGUE,tyrogue,Y,Y,Y
237,HITMONTOP,hitmontop,Y,Y,Y
238,SMOOCHUM,smoochum,,Y,Y
239,ELEKID,elekid,,Y,Y
240,MAGBY,magby,Y,Y,Y
241,MILTANK,miltank,Y,Y,Y
242,BLISSEY,blissey,Y,Y,Y
243,RAIKOU,raikou,Y,Y,Y
244,ENTEI,entei,Y,Y,Y
245,SUICUNE,suicune,Y,Y,Y
246,LARVITAR,larvitar,Y,Y,Y
247,PUPITAR,pupitar,Y,Y,Y
248,TYRANITAR,tyranitar,Y,Y,Y
249,LUGIA,lugia,Y,Y,Y
250,HO-OH,ho-oh,Y,Y,Y
251,CELEBI,celebi,Y,,Y
252,TREECKO,treecko,Y,Y,Y
253,GROVYLE,grovyle,Y,Y,Y
254,SCEPTILE,sceptile,Y,Y,Y
255,TORCHIC,torchic,Y,Y,Y
256,COMBUSKEN,combusken,Y,Y,Y
257,BLAZIKEN,blaziken,Y,Y,Y
258,MUDKIP,mudkip,Y,Y,Y
259,MARSHTOMP,marshtomp,Y,Y,Y
260,SWAMPERT,swampert,Y,Y,Y
261,POOCHYENA,poochyena,Y,Y,Y
262,MIGHTYENA,mightyena,Y,Y,Y
263,ZIGZAGOON,zigzagoon,Y,Y,Y
264,LINOONE,linoone,Y,Y,Y
265,WURMPLE,wurmple,Y,Y,Y
266,SILCOON,silcoon,Y,Y,Y
267,BEAUTIFLY,beautifly,Y,Y,Y
268,CASCOON,cascoon,Y,Y,Y
269,DUSTOX,dustox,Y,Y,Y
270,LOTAD,lotad,Y,Y,Y
271,LOMBRE,lombre,Y,Y,Y
272,LUDICOLO,ludicolo,Y,Y,Y
273,SEEDOT,seedot,Y,Y,Y
274,NUZLEAF,nuzleaf,Y,Y,Y
275,SHIFTRY,shiftry,Y,Y,Y
276,TAILLOW,taillow,Y,Y,Y
277,SWELLOW,swellow,Y,Y,Y
278,WINGULL,wingull,Y,Y,Y
279,PELIPPER,pelipper,Y,Y,Y
280,RALTS,ralts,Y,Y,Y
281,KIRLIA,kirlia,Y,Y,Y
282,GARDEVOIR,gardevoir,Y,Y,Y
283,SURSKIT,surskit,Y,Y,Y
284,MASQUERAIN,masquerain,Y,Y,Y
285,SHROOMISH,shroomish,Y,Y,Y
286,BRELOOM,breloom,Y,Y,Y
287,SLAKOTH,slakoth,Y,Y,Y
288,VIGOROTH,vigoroth,Y,Y,Y
289,SLAKING,slaking,Y,Y,Y
290,NINCADA,nincada,Y,Y,Y
291,NINJASK,ninjask,Y,Y,Y
292,SHEDINJA,shedinja,,,Y
293,WHISMUR,whismur,Y,Y,Y
294,LOUDRED,loudred,Y,Y,Y
295,EXPLOUD,exploud,Y,Y,Y
296,MAKUHITA,makuhita,Y,Y,Y
297,HARIYAMA,hariyama,Y,Y,Y
298,AZURILL,azurill,,Y,Y
299,NOSEPASS,nosepass,Y,Y,Y
300,SKITTY,skitty,Y,Y,Y
301,DELCATTY,delcatty,,Y,Y
302,SABLEYE,sableye,Y,Y,Y
303,MAWILE,mawile,Y,Y,Y
304,ARON,aron,Y,Y,Y
305,LAIRON,lairon,Y,Y,Y
306,AGGRON,aggron,Y,Y,Y
307,MEDITITE,meditite,Y,Y,Y
308,MEDICHAM,medicham,Y,Y,Y
309,ELECTRIKE,electrike,Y,,Y
310,MANECTRIC,manectric,Y,,Y
311,PLUSLE,plusle,Y,Y,Y
312,MINUN,minun,Y,Y,Y
313,VOLBEAT,volbeat,Y,Y,Y
314,ILLUMISE,illumise,Y,Y,Y
315,ROSELIA,roselia,Y,Y,Y
316,GULPIN,gulpin,,Y,Y
317,SWALOT,swalot,,Y,Y
318,CARVANHA,carvanha,Y,Y,Y
319,SHARPEDO,sharpedo,Y,Y,Y
320,WAILMER,wailmer,Y,Y,Y
321,WAILORD,wailord,Y,Y,Y
322,NUMEL,numel,Y,Y,Y
323,CAMERUPT,camerupt,Y,Y,Y
324,TORKOAL,torkoal,Y,,Y
325,SPOINK,spoink,Y,Y,Y
326,GRUMPIG,grumpig,Y,Y,Y
327,SPINDA,spinda,Y,,Y
328,TRAPINCH,trapinch,Y,Y,Y
329,VIBRAVA,vibrava,Y,,Y
330,FLYGON,flygon,Y,,Y
331,CACNEA,cacnea,Y,,Y
332,CACTURNE,cacturne,Y,,Y
333,SWABLU,swablu,Y,Y,Y
334,ALTARIA,altaria,Y,Y,Y
335,ZANGOOSE,zangoose,Y,Y,Y
336,SEVIPER,seviper,Y,Y,Y
337,LUNATONE,lunatone,Y,Y,Y
338,SOLROCK,solrock,,Y,Y
339,BARBOACH,barboach,Y,,Y
340,WHISCASH,whiscash,Y,,Y
341,CORPHISH,corphish,,Y,Y
342,CRAWDAUNT,crawdaunt,,Y,Y
343,BALTOY,baltoy,Y,Y,Y
344,CLAYDOL,claydol,Y,Y,Y
345,LILEEP,lileep,Y,Y,Y
346,CRADILY,cradily,Y,Y,Y
347,ANORITH,anorith,,Y,Y
348,ARMALDO,armaldo,,Y,Y
349,FEEBAS,feebas,Y,Y,Y
350,MILOTIC,milotic,Y,Y,Y
351,CASTFORM,castform,Y,Y,Y
352,KECLEON,kecleon,,,Y
353,SHUPPET,shuppet,Y,Y,Y
354,BANETTE,banette,Y,Y,Y
355,DUSKULL,duskull,Y,Y,Y
356,DUSCLOPS,dusclops,Y,Y,Y
357,TROPIUS,tropius,Y,,Y
358,CHIMECHO,chimecho,Y,Y,Y
359,ABSOL,absol,Y,Y,Y
360,WYNAUT,wynaut,,Y,Y
361,SNORUNT,snorunt,Y,Y,Y
362,GLALIE,glalie,Y,Y,Y
363,SPHEAL,spheal,Y,Y,Y
364,SEALEO,sealeo,Y,Y,Y
365,WALREIN,walrein,Y,Y,Y
366,CLAMPERL,clamperl,Y,Y,Y
367,HUNTAIL,huntail,Y,Y,Y
368,GOREBYSS,gorebyss,Y,,Y
369,RELICANTH,relicanth,,,Y
370,LUVDISC,luvdisc,Y,,Y
371,BAGON,bagon,Y,Y,Y
372,SHELGON,shelgon,Y,Y,Y
373,SALAMENCE,salamence,Y,Y,Y
374,BELDUM,beldum,Y,Y,Y
375,METANG,metang,Y,Y,Y
376,METAGROSS,metagross,Y,Y,Y
377,REGIROCK,regirock,Y,,Y
378,REGICE,regice,Y,Y,Y
379,REGISTEEL,registeel,Y,Y,Y
380,LATIAS,latias,Y,Y,Y
381,LATIOS,latios,Y,Y,Y
382,KYOGRE,kyogre,Y,Y,Y
383,GROUDON,groudon,Y,Y,Y
384,RAYQUAZA,rayquaza,Y,Y,Y
385,JIRACHI,jirachi,Y,,Y
386,DEOXYS,deoxys,Y,,Y
387,TURTWIG,turtwig,Y,Y,Y
388,GROTLE,grotle,Y,Y,Y
389,TORTERRA,torterra,Y,Y,Y
390,CHIMCHAR,chimchar,Y,Y,Y
391,MONFERNO,monferno,Y,Y,Y
392,INFERNAPE,infernape,Y,Y,Y
393,PIPLUP,piplup,Y,Y,Y
394,PRINPLUP,prinplup,Y,Y,Y
395,EMPOLEON,empoleon,Y,Y,Y
396,STARLY,starly,Y,Y,Y
397,STARAVIA,staravia,Y,Y,Y
398,STARAPTOR,staraptor,Y,Y,Y
399,BIDOOF,bidoof,Y,Y,Y
400,BIBAREL,bibarel,Y,Y,Y
401,KRICKETOT,kricketot,Y,Y,Y
402,KRICKETUNE,kricketune,Y,Y,Y
403,SHINX,shinx,Y,Y,Y
404,LUXIO,luxio,Y,Y,Y
405,LUXRAY,luxray,Y,Y,Y
406,BUDEW,budew,Y,,Y
407,ROSERADE,roserade,Y,Y,Y
408,CRANIDOS,cranidos,Y,Y,Y
409,RAMPARDOS,rampardos,Y,Y,Y
410,SHIELDON,shieldon,Y,Y,Y
411,BASTIODON,bastiodon,Y,Y,Y
412,BURMY,burmy,Y,Y,Y
413,WORMADAM,wormadam,Y,Y,Y
414,MOTHIM,mothim,,,Y
415,COMBEE,combee,Y,,Y
416,VESPIQUEN,vespiquen,,,Y
417,PACHIRISU,pachirisu,,,Y
418,BUIZEL,buizel,,,Y
419,FLOATZEL,floatzel,,,Y
420,CHERUBI,cherubi,Y,,Y
421,CHERRIM,cherrim,Y,,Y
422,SHELLOS,shellos,Y,,Y
423,GASTRODON,gastrodon,Y,,Y
424,AMBIPOM,ambipom,Y,,Y
425,DRIFLOON,drifloon,Y,,Y
426,DRIFBLIM,drifblim,Y,,Y
427,BUNEARY,buneary,Y,,Y
428,LOPUNNY,lopunny,Y,,Y
429,MISMAGIUS,mismagius,,,Y
430,HONCHKROW,honchkrow,Y,,Y
431,GLAMEOW,glameow,,,Y
432,PURUGLY,purugly,,,Y
433,CHINGLING,chingling,,,Y
434,STUNKY,stunky,Y,,Y
435,SKUNTANK,skuntank,Y,,Y
436,BRONZOR,bronzor,Y,,Y
437,BRONZONG,bronzong,Y,,Y
438,BONSLY,bonsly,Y,,Y
439,MIME JR.,mime jr.,,,Y
440,HAPPINY,happiny,Y,,Y
441,CHATOT,chatot,,,Y
442,SPIRITOMB,spiritomb,Y,,Y
443,GIBLE,gible,Y,,Y
444,GABITE,gabite,Y,,Y
445,GARCHOMP,garchomp,Y,,Y
446,MUNCHLAX,munchlax,Y,,Y
447,RIOLU,riolu,Y,,Y
448,LUCARIO,lucario,Y,,Y
449,HIPPOPOTAS,hippopotas,,,Y
450,HIPPOWDON,hippowdon,,,Y
451,SKORUPI,skorupi,Y,,Y
452,DRAPION,drapion,Y,,Y
453,CROAGUNK,croagunk,Y,,Y
454,TOXICROAK,toxicroak,Y,,Y
455,CARNIVINE,carnivine,Y,,Y
456,FINNEON,finneon,,,Y
457,LUMINEON,lumineon,,,Y
458,MANTYKE,mantyke,,,Y
459,SNOVER,snover,Y,,Y
460,ABOMASNOW,abomasnow,Y,,Y
461,WEAVILE,weavile,Y,,Y
462,MAGNEZONE,magnezone,Y,,Y
463,LICKILICKY,lickilicky,Y,,Y
464,RHYPERIOR,rhyperior,Y,,Y
465,TANGROWTH,tangrowth,Y,,Y
466,ELECTIVIRE,electivire,Y,,Y
467,MAGMORTAR,magmortar,Y,,Y
468,TOGEKISS,togekiss,Y,,Y
469,YANMEGA,yanmega,Y,,Y
470,LEAFEON,leafeon,Y,,Y
471,GLACEON,glaceon,Y,,Y
472,GLISCOR,gliscor,Y,,Y
473,MAMOSWINE,mamoswine,Y,,Y
474,PORYGON-Z,porygon-z,Y,,Y
475,GALLADE,gallade,Y,,Y
476,PROBOPASS,probopass,,,Y
477,DUSKNOIR,dusknoir,Y,,Y
478,FROSLASS,froslass,Y,,Y
479,ROTOM,rotom,Y,,Y
480,UXIE,uxie,,,Y
481,MESPRIT,mesprit,,,Y
482,AZELF,azelf,Y,,Y
483,DIALGA,dialga,Y,,Y
484,PALKIA,palkia,Y,,Y
485,HEATRAN,heatran,Y,,Y
486,REGIGIGAS,regigigas,Y,,Y
487,GIRATINA,giratina,Y,,Y
488,CRESSELIA,cresselia,Y,,Y
489,PHIONE,phione,Y,,Y
490,MANAPHY,manaphy,Y,,Y
491,DARKRAI,darkrai,Y,,Y
492,SHAYMIN,shaymin,,,Y
493,ARCEUS,arceus,,,Y
494,VICTINI,victini,,,Y
495,SNIVY,snivy,Y,,Y
496,SERVINE,servine,Y,,Y
497,SERPERIOR,serperior,Y,,Y
498,TEPIG,tepig,Y,,Y
499,PIGNITE,pignite,Y,,Y
500,EMBOAR,emboar,Y,,Y
501,OSHAWOTT,oshawott,Y,,Y
502,DEWOTT,dewott,Y,,Y
503,SAMUROTT,samurott,Y,,Y
504,PATRAT,patrat,Y,,Y
505,WATCHOG,watchog,Y,,Y
506,LILLIPUP,lillipup,,,Y
507,HERDIER,herdier,,,Y
508,STOUTLAND,stoutland,,,Y
509,PURRLOIN,purrloin,Y,,Y
510,LIEPARD,liepard,Y,,Y
511,PANSAGE,pansage,,,Y
512,SIMISAGE,simisage,,,Y
513,PANSEAR,pansear,,,Y
514,SIMISEAR,simisear,,,Y
515,PANPOUR,panpour,Y,,Y
516,SIMIPOUR,simipour,Y,,Y
517,MUNNA,munna,Y,,Y
518,MUSHARNA,musharna,Y,,Y
519,PIDOVE,pidove,Y,,Y
520,TRANQUILL,tranquill,Y,,Y
521,UNFEZANT,unfezant,Y,,Y
522,BLITZLE,blitzle,Y,,Y
523,ZEBSTRIKA,zebstrika,Y,,Y
524,ROGGENROLA,roggenrola,Y,,Y
525,BOLDORE,boldore,Y,,Y
526,GIGALITH,gigalith,Y,,Y
527,WOOBAT,woobat,Y,,Y
528,SWOOBAT,swoobat,Y,,Y
529,DRILBUR,drilbur,Y,,Y
530,EXCADRILL,excadrill,Y,,Y
531,AUDINO,audino,Y,,Y
532,TIMBURR,timburr,Y,,Y
533,GURDURR,gurdurr,Y,,Y
534,CONKELDURR,conkeldurr,Y,,Y
535,TYMPOLE,tympole,Y,,Y
536,PALPITOAD,palpitoad,Y,,Y
537,SEISMITOAD,seismitoad,Y,,Y
538,THROH,throh,Y,,Y
539,SAWK,sawk,Y,,Y
540,SEWADDLE,sewaddle,Y,,Y
541,SWADLOON,swadloon,Y,,Y
542,LEAVANNY,leavanny,Y,,Y
543,VENIPEDE,venipede,Y,,Y
544,WHIRLIPEDE,whirlipede,Y,,Y
545,SCOLIPEDE,scolipede,Y,,Y
546,COTTONEE,cottonee,Y,,Y
547,WHIMSICOTT,whimsicott,Y,,Y
548,PETILIL,petilil,Y,,Y
549,LILLIGANT,lilligant,Y,,Y
550,BASCULIN,basculin,Y,,Y
551,SANDILE,sandile,Y,,Y
552,KROKOROK,krokorok,Y,,Y
553,KROOKODILE,krookodile,Y,,Y
554,DARUMAKA,darumaka,Y,,Y
555,DARMANITAN,darmanitan,Y,,Y
556,MARACTUS,maractus,,,Y
557,DWEBBLE,dwebble,Y,,Y
558,CRUSTLE,crustle,Y,,Y
559,SCRAGGY,scraggy,Y,,Y
560,SCRAFTY,scrafty,Y,,Y
561,SIGILYPH,sigilyph,,,Y
562,YAMASK,yamask,Y,,Y
563,COFAGRIGUS,cofagrigus,Y,,Y
564,TIRTOUGA,tirtouga,Y,,Y
565,CARRACOSTA,carracosta,,,Y
566,ARCHEN,archen,Y,,Y
567,ARCHEOPS,archeops,Y,,Y
568,TRUBBISH,trubbish,Y,,Y
569,GARBODOR,garbodor,Y,,Y
570,ZORUA,zorua,Y,,Y
571,ZOROARK,zoroark,Y,,Y
572,MINCCINO,minccino,Y,,Y
573,CINCCINO,cinccino,Y,,Y
574,GOTHITA,gothita,Y,,Y
575,GOTHORITA,gothorita,,,Y
576,GOTHITELLE,gothitelle,,,Y
577,SOLOSIS,solosis,Y,,Y
578,DUOSION,duosion,Y,,Y
579,REUNICLUS,reuniclus,Y,,Y
580,DUCKLETT,ducklett,Y,,Y
581,SWANNA,swanna,Y,,Y
582,VANILLITE,vanillite,Y,,Y
583,VANILLISH,vanillish,Y,,Y
584,VANILLUXE,vanilluxe,Y,,Y
585,DEERLING,deerling,Y,,Y
586,SAWSBUCK,sawsbuck,Y,,Y
587,EMOLGA,emolga,Y,,Y
588,KARRABLAST,karrablast,Y,,Y
589,ESCAVALIER,escavalier,Y,,Y
590,FOONGUS,foongus,Y,,Y
591,AMOONGUSS,amoonguss,Y,,Y
592,FRILLISH,frillish,Y,,Y
593,JELLICENT,jellicent,Y,,Y
594,ALOMOMOLA,alomomola,Y,,Y
595,JOLTIK,joltik,Y,,Y
596,GALVANTULA,galvantula,Y,,Y
597,FERROSEED,ferroseed,Y,,Y
598,FERROTHORN,ferrothorn,Y,,Y
599,KLINK,klink,Y,,Y
600,KLANG,klang,Y,,Y
601,KLINKLANG,klinklang,Y,,Y
602,TYNAMO,tynamo,Y,,Y
603,EELEKTRIK,eelektrik,Y,,Y
604,EELEKTROSS,eelektross,Y,,Y
605,ELGYEM,elgyem,Y,,Y
606,BEHEEYEM,beheeyem,Y,,Y
607,LITWICK,litwick,Y,,Y
608,LAMPENT,lampent,Y,,Y
609,CHANDELURE,chandelure,Y,,Y
610,AXEW,axew,Y,,Y
611,FRAXURE,fraxure,Y,,Y
612,HAXORUS,haxorus,Y,,Y
613,CUBCHOO,cubchoo,,,Y
614,BEARTIC,beartic,,,Y
615,CRYOGONAL,cryogonal,Y,,Y
616,SHELMET,shelmet,Y,,Y
617,ACCELGOR,accelgor,Y,,Y
618,STUNFISK,stunfisk,Y,,Y
619,MIENFOO,mienfoo,,,Y
620,MIENSHAO,mienshao,,,Y
621,DRUDDIGON,druddigon,Y,,Y
622,GOLETT,golett,Y,,Y
623,GOLURK,golurk,Y,,Y
624,PAWNIARD,pawniard,Y,,Y
625,BISHARP,bisharp,Y,,Y
626,BOUFFALANT,bouffalant,,,Y
627,RUFFLET,rufflet,Y,,Y
628,BRAVIARY,braviary,Y,,Y
629,VULLABY,vullaby,Y,,Y
630,MANDIBUZZ,mandibuzz,Y,,Y
631,HEATMOR,heatmor,Y,,Y
632,DURANT,durant,Y,,Y
633,DEINO,deino,Y,,Y
634,ZWEILOUS,zweilous,Y,,Y
635,HYDREIGON,hydreigon,Y,,Y
636,LARVESTA,larvesta,,,Y
637,VOLCARONA,volcarona,,,Y
